Year, Refereed, Total
1996, 0, 0
1997, 0, 0
1998, 0, 0
1999, 0, 0
2000, 0, 0
2001, 0, 0
2002, 0, 0
2003, 0, 0
2004, 0, 0
2005, 0, 0
2006, 0, 0
2007, 0, 0
2008, 0, 0
2009, 0, 0
2010, 108, 108
2011, 175, 175
2012, 184, 184
2013, 197, 197
2014, 190, 190
2015, 189, 189
2016, 201, 201
2017, 225, 225
2018, 167, 167
2019, 168, 168
2020, 181, 181
2021, 132, 132
2022, 31, 31
