Year, Refereed, Total
1996, 0, 0
1997, 0, 0
1998, 79, 79
1999, 122, 122
2000, 137, 137
2001, 108, 108
2002, 149, 149
2003, 126, 126
2004, 153, 153
2005, 170, 170
2006, 370, 370
2007, 326, 326
2008, 326, 326
2009, 365, 365
2010, 552, 552
2011, 579, 579
2012, 548, 548
2013, 402, 402
2014, 422, 422
2015, 355, 355
2016, 325, 325
2017, 309, 309
2018, 301, 301
2019, 351, 351
2020, 393, 393
2021, 342, 342
2022, 93, 93
