Year, Refereed, Total
1996, 0, 0
1997, 0, 0
1998, 0, 0
1999, 0, 0
2000, 0, 0
2001, 0, 0
2002, 0, 0
2003, 0, 0
2004, 0, 0
2005, 0, 0
2006, 0, 0
2007, 0, 0
2008, 0, 0
2009, 0, 0
2010, 0, 0
2011, 0, 0
2012, 0, 0
2013, 1087, 1087
2014, 1064, 1064
2015, 1050, 1050
2016, 1066, 1066
2017, 805, 805
2018, 488, 488
2019, 472, 472
2020, 547, 547
2021, 417, 417
2022, 124, 124
