Year, Refereed, Total
1996, 0, 0
1997, 0, 0
1998, 0, 0
1999, 0, 0
2000, 0, 0
2001, 0, 0
2002, 0, 0
2003, 43, 43
2004, 80, 80
2005, 51, 51
2006, 34, 34
2007, 48, 48
2008, 35, 35
2009, 36, 36
2010, 39, 39
2011, 56, 56
2012, 47, 47
2013, 47, 47
2014, 49, 49
2015, 47, 47
2016, 37, 37
2017, 36, 36
2018, 35, 35
2019, 38, 38
2020, 47, 47
2021, 32, 32
2022, 6, 6
