Year, Refereed, Total
1996, 0, 0
1997, 0, 0
1998, 0, 0
1999, 0, 0
2000, 0, 0
2001, 0, 0
2002, 0, 0
2003, 0, 0
2004, 109, 109
2005, 145, 145
2006, 96, 96
2007, 88, 88
2008, 75, 75
2009, 68, 68
2010, 62, 62
2011, 62, 62
2012, 38, 38
2013, 45, 45
2014, 54, 54
2015, 43, 43
2016, 27, 27
2017, 34, 34
2018, 24, 24
2019, 29, 29
2020, 15, 15
2021, 31, 31
2022, 3, 3
