Year, Refereed, Total
1996, 0, 0
1997, 1, 1
1998, 4, 4
1999, 9, 9
2000, 11, 11
2001, 8, 8
2002, 10, 10
2003, 12, 12
2004, 18, 18
2005, 12, 12
2006, 13, 13
2007, 26, 26
2008, 19, 19
2009, 22, 22
2010, 45, 45
2011, 31, 31
2012, 21, 21
2013, 19, 19
2014, 20, 20
2015, 11, 11
2016, 21, 21
2017, 14, 14
2018, 20, 20
2019, 24, 24
2020, 36, 36
2021, 28, 28
2022, 0, 0
